Unnamed: 0,id,inv,kd,kategori,produk,qr,beli,jual,nego,qty,stok_awal,tgl_input,tgl_upd
0,1,INV/20210903/TPT/970/00024,TPT,Lainnya,Bigland 120x200,,915000,1400000,1300000,1,5,2021-09-03 14:26:25,2021-09-03 14:26:25
1,2,INV/20210903/TPT/970/00024,TPT,Lainnya,Roda kulkas kecil,,35000,50000,50000,1,5,2021-09-03 14:26:25,2021-09-03 14:26:25
2,3,INV/20210903/TPT/970/00025,TPT,Lainnya,Blender miyako 101pl,,200000,250000,205000,1,5,2021-09-03 14:31:26,2021-09-03 14:31:26
3,4,INV/20210903/TPT/970/00026,TPT,Lainnya,Blender miyako 101pl,,200000,250000,230000,1,5,2021-09-03 14:34:18,2021-09-03 14:34:18
4,5,INV/20210904/TPT/970/00027,TPT,Lainnya,Kipas Angin Maspion 41K,,290000,370000,290000,1,5,2021-09-04 14:07:33,2021-09-04 14:07:33
5,6,INV/20210904/TPT/970/00028,TPT,Lainnya,SCN 181,,3100000,3500000,3275000,1,5,2021-09-04 14:11:32,2021-09-04 14:11:32
6,7,INV/20210906/TPT/970/00029,TPT,Lainnya,Pompa air Shimizu,,390000,500000,410000,1,5,2021-09-06 10:17:46,2021-09-06 10:17:46
7,8,INV/20210906/TPT/970/00030,TPT,Lainnya,M.Com Miyako 508,,207000,270000,212000,1,5,2021-09-06 10:32:50,2021-09-06 10:32:50
8,9,INV/20210906/TPT/970/00031,TPT,Lainnya,M.Jar Miyako 709,,175000,255000,215000,2,5,2021-09-06 14:06:14,2021-09-06 14:06:14
9,10,INV/20210907/TPT/970/00032,TPT,Lainnya,Est971dm,,1900000,2500000,2200000,1,5,2021-09-07 11:18:06,2021-09-07 11:18:06
10,11,INV/20210907/TPT/970/00033,TPT,Lainnya,Guhdo N.Prima 160x200,,1625000,2100000,2000000,1,5,2021-09-07 12:58:08,2021-09-07 12:58:08
11,12,INV/20210907/TPT/970/00033,TPT,Lainnya,Kompor Rinnai 602E,,350000,450000,380000,1,5,2021-09-07 12:58:08,2021-09-07 12:58:08
12,13,INV/20210907/TPT/970/00033,TPT,Lainnya,Sel Dan reg wingass,,65000,85000,75000,1,5,2021-09-07 12:58:08,2021-09-07 12:58:08
13,14,INV/20210907/TPT/970/00033,TPT,Lainnya,Seprei Bonita 180 B4,,110000,135000,120000,1,5,2021-09-07 12:58:08,2021-09-07 12:58:08
14,15,INV/20210907/TPT/970/00034,TPT,Lainnya,Setrika Maspion EX1010,,105000,170000,110000,1,5,2021-09-07 13:27:44,2021-09-07 13:27:44
15,16,INV/20210907/TPT/970/00035,TPT,Lainnya,P8500R,,2100000,2600000,2300000,1,5,2021-09-07 13:32:42,2021-09-07 13:32:42
16,17,INV/20210907/TPT/970/00036,TPT,Lainnya,Sj236mg,,2700500,3200000,3000000,1,5,2021-09-07 14:13:47,2021-09-07 14:13:47
17,18,INV/20210908/TPT/970/00037,TPT,Lainnya,Bigland 120x200,,915000,1400000,925000,1,5,2021-09-08 08:48:36,2021-09-08 08:48:36
18,19,INV/20210908/TPT/970/00038,TPT,Lainnya,Guhdo Pillow Top 160x200,,2200000,2800000,2600000,1,5,2021-09-08 13:27:31,2021-09-08 13:27:31
19,20,INV/20210908/TPJ/355/00039,TPJ,Lainnya,Mesin cuci 9366,,1430000,1450000,1450000,2,5,2021-09-08 14:07:34,2021-09-08 14:07:34
20,21,INV/20210908/TPJ/355/00039,TPJ,Lainnya,Majic com 509,,206000,210000,210000,5,5,2021-09-08 14:07:34,2021-09-08 14:07:34
21,22,INV/20210908/TPJ/355/00039,TPJ,Lainnya,Majic com 528,,203000,205000,205000,2,5,2021-09-08 14:07:34,2021-09-08 14:07:34
22,23,INV/20210908/TPJ/355/00039,TPJ,Lainnya,Kulkas prb 189,,1740000,1770000,1770000,1,5,2021-09-08 14:07:34,2021-09-08 14:07:34
23,24,INV/20210908/TPJ/355/00040,TPJ,Lainnya,Mesin cuci 75nt,,1230000,1240000,1240000,1,5,2021-09-08 14:19:26,2021-09-08 14:19:26
24,25,INV/20210908/TPJ/355/00040,TPJ,Lainnya,Mesin cuci 7363,,1175000,1190000,1190000,1,5,2021-09-08 14:19:26,2021-09-08 14:19:26
25,26,INV/20210908/TPJ/355/00040,TPJ,Lainnya,Mesin cuci 8366,,1300000,1320000,1320000,1,5,2021-09-08 14:19:26,2021-09-08 14:19:26
26,27,INV/20210909/TPT/970/00041,TPT,Lainnya,Bigland 160x200,,1170000,1700000,1180000,2,5,2021-09-09 09:46:10,2021-09-09 09:46:10
27,28,INV/20210909/TPJ/355/00042,TPJ,Lainnya,Mesin cuci 65mw,,1180000,1190000,1190000,2,5,2021-09-09 10:22:21,2021-09-09 10:22:21
28,29,INV/20210909/TPJ/355/00042,TPJ,Lainnya,Mesin cuci 75nt,,1230000,1250000,1250000,1,5,2021-09-09 10:22:21,2021-09-09 10:22:21
29,30,INV/20210909/TPJ/355/00043,TPJ,Lainnya,Mesin cuci 876,,2200000,2225000,2225000,1,5,2021-09-09 12:11:46,2021-09-09 12:11:46
30,31,INV/20210909/TPJ/355/00043,TPJ,Lainnya,Kulkas 18bn,,1890000,1900000,1900000,1,5,2021-09-09 12:11:46,2021-09-09 12:11:46
31,32,INV/20210909/TPJ/355/00044,TPJ,Lainnya,Kipas 31k,,264000,270000,270000,1,5,2021-09-09 12:29:10,2021-09-09 12:29:10
32,33,INV/20210909/TPJ/355/00044,TPJ,Lainnya,Majic com miyako 606A,,182000,185000,185000,2,5,2021-09-09 12:29:10,2021-09-09 12:29:10
33,34,INV/20210909/TPJ/355/00045,TPJ,Lainnya,Kulkas prb 219,,2484000,2500000,2500000,1,5,2021-09-09 12:37:50,2021-09-09 12:37:50
34,35,INV/20210909/TPJ/355/00045,TPJ,Lainnya,Kompor 522C,,280000,285000,285000,1,5,2021-09-09 12:37:50,2021-09-09 12:37:50
35,36,INV/20210909/TPT/970/00046,TPT,Lainnya,Est65mw,,1180000,1600000,1350000,1,5,2021-09-09 15:14:58,2021-09-09 15:14:58
36,37,INV/20210910/TPJ/355/00047,TPJ,Lainnya,Kipas 16SNQ,,257000,260000,260000,2,5,2021-09-10 10:29:46,2021-09-10 10:29:46
37,38,INV/20210910/TPJ/355/00047,TPJ,Lainnya,Kipas 167,,296000,300000,300000,2,5,2021-09-10 10:29:46,2021-09-10 10:29:46
38,39,INV/20210910/TPJ/355/00047,TPJ,Lainnya,Dispenser WD 190,,150000,155000,155000,1,5,2021-09-10 10:29:46,2021-09-10 10:29:46
39,40,INV/20210910/TPJ/355/00047,TPJ,Lainnya,Majic com KRC 138,,257000,260000,260000,2,5,2021-09-10 10:29:46,2021-09-10 10:29:46
40,41,INV/20210910/TPJ/355/00047,TPJ,Lainnya,Kipas 41K,,290000,295000,295000,1,5,2021-09-10 10:29:46,2021-09-10 10:29:46
41,42,INV/20210910/TPT/970/00048,TPT,Lainnya,Sch210fs,,2987600,3650000,3500000,1,5,2021-09-10 12:23:34,2021-09-10 12:23:34
42,43,INV/20210910/TPT/970/00049,TPT,Lainnya,Polytron 18 bn,,1950000,2400000,1950000,1,5,2021-09-10 13:49:27,2021-09-10 13:49:27
43,44,INV/20210910/TPJ/355/00050,TPJ,Lainnya,Kulkas 21BN,,2590000,2600000,2600000,1,5,2021-09-10 14:05:49,2021-09-10 14:05:49
44,45,INV/20210910/TPJ/355/00051,TPJ,Lainnya,Led polytron 32D7511,,2350000,2375000,2375000,1,5,2021-09-10 14:19:07,2021-09-10 14:19:07
45,46,INV/20210910/TPJ/355/00052,TPJ,Lainnya,Mesin cuci 75nt,,1230000,1240000,1240000,1,5,2021-09-10 14:34:22,2021-09-10 14:34:22
46,47,INV/20210910/TPJ/355/00052,TPJ,Lainnya,Mesin cuci 80MW,,1320000,1330000,1330000,1,5,2021-09-10 14:34:22,2021-09-10 14:34:22
47,48,INV/20210910/TPJ/355/00052,TPJ,Lainnya,Selang paket Miyako RMS 206,,65000,70000,70000,1,5,2021-09-10 14:34:22,2021-09-10 14:34:22
48,49,INV/20210910/TPJ/355/00052,TPJ,Lainnya,Kipas 41K,,290000,295000,295000,1,5,2021-09-10 14:34:22,2021-09-10 14:34:22
49,50,INV/20210910/TPJ/355/00053,TPJ,Lainnya,Mesin cuci 96CL,,1800000,1830000,1830000,1,5,2021-09-10 14:53:17,2021-09-10 14:53:17
50,51,INV/20210910/TPJ/355/00053,TPJ,Lainnya,Kulkas 18bn,,1890000,1900000,1900000,1,5,2021-09-10 14:53:17,2021-09-10 14:53:17
51,52,INV/20210911/TPT/970/00054,TPT,Lainnya,Bigland 160x200,,1170000,1700000,1450000,1,5,2021-09-11 09:30:49,2021-09-11 09:30:49
52,53,INV/20210911/TPT/970/00054,TPT,Lainnya,Bantal serenity,,50000,75000,75000,2,5,2021-09-11 09:30:49,2021-09-11 09:30:49
53,54,INV/20210911/TPT/970/00055,TPT,Lainnya,Sorong bigdream 120x200,,1900000,2700000,1950000,1,5,2021-09-11 09:37:02,2021-09-11 09:37:02
54,55,INV/20210911/TPJ/355/00056,TPJ,Lainnya,Mesin cuci Sharp 86CL,,1700000,1725000,1725000,1,5,2021-09-11 10:51:03,2021-09-11 10:51:03
55,56,INV/20210911/TPJ/355/00056,TPJ,Lainnya,Majic com cosmos 8228,,266000,270000,270000,1,5,2021-09-11 10:51:03,2021-09-11 10:51:03
56,57,INV/20210911/TPJ/355/00056,TPJ,Lainnya,Dispenser WD 190,,150000,155000,155000,1,5,2021-09-11 10:51:03,2021-09-11 10:51:03
57,58,INV/20210911/TPJ/355/00057,TPJ,Lainnya,Kulkas 18bn,,1890000,1900000,1900000,1,5,2021-09-11 11:24:34,2021-09-11 11:24:34
58,59,INV/20210911/TPJ/355/00057,TPJ,Lainnya,Kulkas sjx. 187,,1820000,1830000,1830000,1,5,2021-09-11 11:24:34,2021-09-11 11:24:34
59,60,INV/20210911/TPT/970/00058,TPT,Lainnya,Sjn182d,,17369000,2100000,1950000,1,5,2021-09-11 12:20:33,2021-09-11 12:20:33
60,61,INV/20210911/TPT/970/00059,TPT,Lainnya,M.Com Cosmos 3306,,205000,275000,215000,1,5,2021-09-11 13:36:29,2021-09-11 13:36:29
61,62,INV/20210911/TPT/970/00059,TPT,Lainnya,Setrika Maspion HA110,,110000,180000,120000,1,5,2021-09-11 13:36:29,2021-09-11 13:36:29
62,63,INV/20210911/TPJ/355/00060,TPJ,Lainnya,Mesin cuci 80MW,,1320000,1330000,1330000,2,5,2021-09-11 17:10:56,2021-09-11 17:10:56
63,64,INV/20210911/TPJ/355/00060,TPJ,Lainnya,Mesin cuci polytron 7366,,1175000,1200000,1200000,1,5,2021-09-11 17:10:56,2021-09-11 17:10:56
64,65,INV/20210911/TPJ/355/00060,TPJ,Lainnya,Kompor rinnai 522E,,315000,318000,318000,5,5,2021-09-11 17:10:56,2021-09-11 17:10:56
65,66,INV/20210911/TPJ/355/00060,TPJ,Lainnya,Kulkas polytron prb 179,,1645000,1660000,1660000,2,5,2021-09-11 17:10:56,2021-09-11 17:10:56
66,67,INV/20210913/TPJ/355/00061,TPJ,Lainnya,Kulkas Sharp sj 197 2 pintu,,2464000,2500000,2500000,2,5,2021-09-13 12:02:51,2021-09-13 12:02:51
